id,name,imageUrl
1,master-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/master-ball.png
2,ultra-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/ultra-ball.png
3,great-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/great-ball.png
4,poke-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/poke-ball.png
5,safari-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/safari-ball.png
6,net-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/net-ball.png
7,dive-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/dive-ball.png
8,nest-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/nest-ball.png
9,repeat-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/repeat-ball.png
10,timer-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/timer-ball.png
11,luxury-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/luxury-ball.png
12,premier-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/premier-ball.png
13,dusk-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/dusk-ball.png
14,heal-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/heal-ball.png
15,quick-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/quick-ball.png
16,cherish-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/cherish-ball.png
17,potion,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/potion.png
18,antidote,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/antidote.png
19,burn-heal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/burn-heal.png
20,ice-heal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/ice-heal.png
21,awakening,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/awakening.png
22,paralyze-heal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/paralyze-heal.png
23,full-restore,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/full-restore.png
24,max-potion,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/max-potion.png
25,hyper-potion,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/hyper-potion.png
26,super-potion,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/super-potion.png
27,full-heal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/full-heal.png
28,revive,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/revive.png
