A,B
147,387
644,387
670,387
738,387
22,388
312,388
532,388
536,388
202,389
320,389
596,389
667,389
53,390
172,390
552,390
680,390
24,391
53,391
197,391
463,391
24,392
27,392
359,392
625,392
308,393
330,393
503,393
733,393
250,394
697,394
710,394
730,394
128,395
323,395
362,395
442,395
4,396
11,396
131,396
298,396
17,397
25,397
38,397
130,397
118,398
173,398
176,398
218,398
234,399
298,399
516,399
701,399
175,400
187,400
237,400
240,400
369,401
404,401
522,401
806,401
41,402
450,402
758,402
806,402
86,403
570,403
719,403
759,403
268,404
422,404
646,404
719,404
9,405
209,405
344,405
804,405
51,406
331,406
345,406
398,406
72,407
302,407
338,407
380,407
205,408
397,408
408,408
770,408
157,409
205,409
444,409
446,409
430,410
457,410
475,410
684,410
232,411
484,411
508,411
800,411
81,412
405,412
450,412
611,412
42,413
71,413
318,413
660,413
17,414
177,414
318,414
456,414
448,415
483,415
613,415
758,415
17,416
366,416
507,416
537,416
9,417
451,417
559,417
602,417
55,418
250,418
487,418
710,418
55,419
145,419
710,419
812,419
22,420
71,420
532,420
645,420
147,421
331,421
338,421
532,421
55,422
56,422
145,422
250,422
125,423
127,423
250,423
341,423
6,424
160,424
176,424
252,424
177,425
288,425
413,425
637,425
180,426
366,426
636,426
814,426
226,427
496,427
514,427
590,427
49,428
131,428
159,428
497,428
247,429
288,429
467,429
708,429
365,430
400,430
575,430
626,430
37,431
50,431
118,431
445,431
4,432
39,432
102,432
230,432
95,433
243,433
285,433
428,433
168,434
342,434
539,434
737,434
305,435
374,435
390,435
417,435
272,436
277,436
428,436
588,436
334,437
502,437
593,437
796,437
350,438
591,438
633,438
800,438
95,439
138,439
478,439
717,439
1,440
3,440
30,440
252,440
144,441
448,441
541,441
547,441
242,442
399,442
468,442
566,442
90,443
337,443
414,443
630,443
90,444
525,444
630,444
667,444
90,445
91,445
225,445
707,445
161,446
226,446
252,446
504,446
2,447
66,447
548,447
560,447
223,448
358,448
359,448
713,448
91,449
529,449
659,449
815,449
28,450
414,450
630,450
667,450
51,451
123,451
188,451
369,451
40,452
44,452
380,452
492,452
136,453
279,453
292,453
339,453
305,454
482,454
625,454
810,454
22,455
75,455
312,455
536,455
61,456
330,456
453,456
733,456
352,457
453,457
487,457
534,457
19,458
61,458
127,458
432,458
59,459
275,459
301,459
329,459
71,460
79,460
420,460
465,460
59,461
333,461
372,461
539,461
87,462
231,462
527,462
582,462
30,463
227,463
607,463
805,463
300,464
397,464
727,464
771,464
22,465
447,465
452,465
538,465
209,466
435,466
598,466
734,466
53,467
424,467
436,467
757,467
332,468
583,468
698,468
767,468
41,469
119,469
210,469
512,469
73,470
80,470
275,470
738,470
62,471
196,471
420,471
553,471
16,472
143,472
529,472
766,472
28,473
89,473
426,473
694,473
29,474
135,474
148,474
293,474
500,475
509,475
723,475
797,475
205,476
439,476
684,476
774,476
171,477
325,477
466,477
712,477
8,478
180,478
333,478
554,478
84,479
209,479
268,479
725,479
115,480
138,480
377,480
470,480
112,481
295,481
296,481
326,481
385,482
478,482
683,482
689,482
232,483
475,483
544,483
653,483
55,484
56,484
330,484
653,484
231,485
334,485
360,485
508,485
4,486
163,486
273,486
495,486
567,487
637,487
692,487
728,487
60,488
112,488
347,488
797,488
362,489
392,489
594,489
818,489
56,490
145,490
240,490
812,490
269,491
621,491
693,491
772,491
302,492
312,492
338,492
447,492
29,493
31,493
45,493
203,493
