A,B
1,1
3,1
4,1
5,1
6,1
10,1
11,1
12,1
13,1
14,1
15,1
18,1
20,1
21,1
23,1
25,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
43,1
45,1
46,1
47,1
48,1
49,1
50,1
63,1
70,1
74,1
98,1
99,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
111,1
116,1
117,1
118,1
120,1
121,1
129,1
130,1
131,1
132,1
135,1
137,1
140,1
142,1
144,1
146,1
148,1
150,1
153,1
154,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
170,1
173,1
175,1
176,1
182,1
184,1
187,1
193,1
195,1
199,1
203,1
206,1
207,1
208,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
226,1
227,1
229,1
230,1
234,1
237,1
244,1
245,1
252,1
253,1
254,1
255,1
256,1
263,1
265,1
266,1
267,1
270,1
273,1
274,1
278,1
281,1
283,1
287,1
290,1
293,1
298,1
303,1
304,1
306,1
311,1
316,1
321,1
335,1
336,1
343,1
363,1
364,1
367,1
376,1
378,1
381,1
382,1
383,1
387,1
416,1
431,1
445,1
449,1
458,1
462,1
493,1
494,1
495,1
496,1
497,1
498,1
504,1
513,1
514,1
516,1
526,1
541,1
543,1
546,1
547,1
568,1
586,1
589,1
590,1
603,1
606,1
607,1
610,1
622,1
623,1
671,1
673,1
686,1
701,1
702,1
715,1
718,1
741,1
743,1
747,1
760,1
805,1
2,2
24,2
26,2
27,2
66,2
67,2
68,2
69,2
136,2
167,2
179,2
183,2
197,2
223,2
233,2
238,2
249,2
264,2
276,2
279,2
280,2
292,2
327,2
339,2
358,2
359,2
370,2
395,2
396,2
409,2
410,2
411,2
480,2
490,2
501,2
509,2
515,2
533,2
548,2
560,2
561,2
612,2
624,2
625,2
748,2
761,2
794,2
811,2
823,2
16,3
17,3
19,3
64,3
65,3
119,3
143,3
177,3
297,3
314,3
332,3
340,3
355,3
365,3
366,3
403,3
413,3
432,3
448,3
507,3
512,3
542,3
613,3
620,3
626,3
627,3
690,3
731,3
766,3
814,3
40,4
51,4
77,4
92,4
123,4
124,4
139,4
151,4
188,4
305,4
342,4
380,4
390,4
398,4
440,4
441,4
474,4
482,4
489,4
491,4
499,4
562,4
599,4
628,4
629,4
661,4
672,4
685,4
764,4
801,4
810,4
28,5
89,5
90,5
91,5
125,5
155,5
189,5
191,5
198,5
222,5
300,5
328,5
341,5
414,5
426,5
523,5
529,5
563,5
614,5
615,5
616,5
619,5
630,5
631,5
659,5
667,5
707,5
771,5
815,5
88,6
157,6
201,6
205,6
246,6
317,6
350,6
397,6
408,6
439,6
444,6
446,6
457,6
469,6
479,6
591,6
632,6
633,6
709,6
727,6
770,6
800,6
41,7
42,7
81,7
141,7
169,7
210,7
224,7
294,7
318,7
324,7
369,7
404,7
405,7
450,7
454,7
455,7
456,7
476,7
483,7
522,7
537,7
